"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"3.1. Pastagem","38296443.582326785","38412503.46876699","40052513.85678437","41785299.34471073","43075554.24174409","44154449.12282009","45103129.2684777","46148145.944823414","47247145.56455916","48173313.12229983","49132385.340365075","49916024.732019015","50427470.67090853","51025748.48387583","51518395.605850525","51960171.90755274","52083899.37043103","52372389.05694981","52304008.26080169","52488860.967512175","52595461.84223087","52930144.280624144","52930321.12367107","52617179.78746586","51992975.81278964","51684903.435841806","51219141.72916832","50625726.97424015","49928937.425888635","49509053.24635386","49386820.882964045","49198812.29088059","48854078.707412526","48292885.60573814","47354543.04078269","46996474.64624729"
"3.2. Agricultura","4143018.3729411233","4151616.4633937217","4849549.300220979","5448863.460652538","6064676.146674568","6691694.312175731","7343587.0340370005","7492466.174451936","7773359.959628319","8072287.565990077","8249627.091925314","8603219.407596517","8845339.043612536","9153818.796530567","9699064.860862708","10267570.937428728","10941673.16839187","11388988.819840113","11735178.799305413","12878776.52107591","14116722.929553384","15118449.690714348","15719987.807903554","16269434.44216036","16787531.49545764","17140718.235493805","17549351.143648133","18207009.77490015","19055108.437779102","20182166.298924718","21029604.6067333","21655817.565971956","22027654.930706427","22334745.84338793","22730314.596716672","23391415.427281413"
"3.2.1. Lavoura Temporária","3935381.703103899","3942146.472137045","4685425.895424971","5307753.680259123","5937416.863112349","6582648.800413366","7250006.110867781","7399633.243347553","7672484.678326427","7949743.344605335","8122725.23224291","8471280.330250308","8709737.263801232","9011320.292908372","9517300.618873822","10045531.32492373","10708409.557736494","11161426.785471328","11519517.618688906","12645269.943234833","13879614.98560962","14872572.454073748","15466933.839028355","16003661.741230516","16504010.857585406","16845081.2956705","17202798.25110148","17825118.152956475","18622094.560149074","19748967.518383246","20565425.97727727","21168828.687219366","21536468.71621421","21838140.112190243","22233116.38668154","22885479.972201794"
"3.2.1.1. Soja","901244.1958789583","901096.5528214211","1440104.1711718359","1918839.3825260114","2267328.0177468667","2448440.3751689447","2628364.3856776217","2702806.278727023","3008825.8148825387","3174161.98858845","3307479.8424653867","3564235.069005821","3762362.1196036716","3998527.0649207006","4546971.932365257","5699919.1215398805","6879883.006552617","7640372.658252292","8081229.541804613","8650833.495396316","9806386.856251912","10256505.826556932","10209358.908099879","10125124.649943601","10514494.353312174","11216614.197666034","11541277.815770283","11361455.139169814","11659420.81933254","13149123.674988266","14173696.384657644","15159072.388841435","15943693.789135141","16273339.366962459","16782125.2906556","17665895.303850085"
"3.2.1.2. Cana","304138.4283039019","305123.7619869701","309129.6529540301","313698.21919347247","316176.7750180754","322130.90970528295","329421.4783453981","345522.45246774744","368305.3160019258","392918.8747261479","420547.356353554","469674.28595975926","500033.3709257582","516670.0067720059","529153.2923129472","553564.5949752572","566275.076617496","609711.9658075946","650832.1891012084","737617.9113500929","835119.0740161948","937774.4961457667","1159508.4640881275","1473478.32366044","1737790.3337325945","1904251.8387070494","2041353.6487383088","2281693.9408504562","2475658.557071396","2779125.4731049505","2938899.161515743","3051848.358695772","3039085.2585637807","3017033.4792659893","3124578.9598890976","3082771.886863773"
"3.2.1.3. Arroz","6649.247929473705","5217.818708081096","6853.593116387858","4410.2913827391785","4566.900801257452","8965.118861334053","9627.764990710555","10425.071337835872","8400.224765222207","13314.01981495992","19476.170119647086","17402.662866015835","10933.241290838654","8681.216287866233","23492.90791198736","34885.01223525317","18751.21503409369","5648.484603106688","6210.236718090803","12460.664641387859","19283.575532854404","24882.303654894935","24360.262370068405","28020.733369518457","39845.23019660496","36848.2106833482","38036.55428824266","43096.16846343245","47879.99466962769","61044.67852783439","72102.39701869659","80031.02347628934","81303.52792134683","88940.12798901017","90842.7689598789","97382.51581855009"
"3.2.1.4. Outras Lavouras Temporárias","2723349.830991565","2730708.338620573","2929338.4781827177","3070805.7871569004","3349345.1695461497","3803112.3966778037","4282592.48185405","4340879.440814947","4286953.322676741","4369348.461475777","4375221.863304323","4419968.312418711","4436408.531980963","4487442.0049278","4417682.48628363","3757162.596173339","3243500.2595322877","2905693.676808335","2781245.651064994","3244357.8718470368","3218825.47980866","3653409.8277161545","4073706.2044702796","4377038.034256956","4211880.940344034","3687367.048614067","3582130.232304644","4138872.9044727734","4439135.189075511","3759673.691762195","3380728.0340851895","2877876.916205867","2472386.1405939423","2458827.1379727847","2235569.3671769607","2039430.265669389"
"3.2.2. Lavoura Perene","207636.66983722433","209469.9912566764","164123.40479600837","141109.78039341394","127259.28356221934","109045.51176236538","93580.92316921963","92832.93110438208","100875.2813018917","122544.22138474116","126901.85968240355","131939.07734620984","135601.7798113038","142498.503622193","181764.2419888858","222039.6125049974","233263.61065537602","227562.03436878556","215661.18061650888","233506.57784107543","237107.9439437614","245877.2366405997","253053.96887520014","265772.7009298451","283520.63787223375","295636.9398233084","346552.8925466548","381891.6219436755","433013.8776300288","433198.7805414728","464178.6294560279","486988.878752592","491186.2144922159","496605.7311976906","497198.21003513056","505935.4550796179"
"3.2.2.1. Café","187372.8962042348","187125.76878581464","143136.80094445805","119415.27258552826","106041.0397383181","85602.45312888183","69996.53790149541","66180.88036297614","74956.61119971915","84039.51562162464","89348.2570242673","92097.13323867787","91922.3938168027","97826.58915036033","126726.88220015269","154024.21416316985","161170.93286085088","151824.40120607824","134570.91282721487","141394.35921899343","149194.1959297724","158392.4973450371","167429.5706420156","170510.21721368932","176107.6048197439","181192.8876021053","207405.36667960818","231746.97690878942","254290.70537827123","263330.96257578733","276345.50941443274","282664.58687649865","283144.0980066319","288347.4833444974","283574.0889833048","281582.57817624253"
"3.2.2.2. Citrus","20263.773632989527","22344.222470861787","20986.603851550313","21694.507807885668","21218.24382390124","23443.058633483557","23584.38526772423","26652.050741405936","25918.670102172557","38504.70576311653","37553.60265813625","39841.94410753198","43679.385994501106","44671.91447183267","55037.3597887331","68015.39834182755","72092.67779452514","75737.63316270732","81090.26778929403","92112.21862208201","87913.74801398901","87484.73929556258","85624.39823318455","95262.48371615582","107413.03305248986","114444.05222120308","139147.5258670466","150144.64503488608","178723.17225175764","169867.81796568545","187833.12004159516","204324.2918760933","208042.116485584","208258.24785319317","213624.1210518257","224352.87690337538"
"3.2.2.3. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura","536367.7426808021","536353.446676523","557455.3607938832","753230.3588235074","767786.9642367689","795412.3707656121","1020824.3396237041","1069734.4784227603","1090549.6964750858","1145065.647826538","1173586.7502146945","1178070.6271109625","1215084.1736834978","1217650.1202923767","1212821.5664828504","1221297.8822914006","1224376.6446055311","1229745.4175944778","1220450.482279002","1242658.283537852","1269693.6213816425","1314338.4004915287","1378708.1977512364","1463944.522412416","1629384.116714547","1774175.136467572","1934388.9207310562","2092384.7519112765","2263035.0571416635","2411605.976311895","2449316.4539905624","2531815.8657360957","2579763.8676885273","2718107.3478337047","2843821.966937716","2844528.8529202975"
"3.4. Mosaico de Agricultura e Pastagem","18500669.802963883","18028068.923198573","16317385.294755295","14972003.475797083","13992349.26460023","13206230.690427413","12502869.245021034","12408838.633624122","12191620.038223565","11919760.284001278","11780831.051906165","11556747.721668083","11537308.495104311","11331214.275617937","11078160.489600394","10977687.049965804","11132657.158046419","11280439.687257051","11898931.602719875","11864735.371714627","11415303.775917681","10692250.68823158","10541186.519041566","10732198.28807279","11061229.76031579","11325508.546320558","11639639.418723255","12041998.20823744","12383716.335384058","12169268.39871257","11987369.990560785","11998004.249857062","12593135.32922014","13028095.937468126","13688953.345263634","14423251.11808779"
